name,party,age,status,kids,address,declaration,voting,text,person_donor_1,person_donor_2,person_donor_3,person_donor_4,person_donor_5,person_donor_6,person_related_1,person_related_2,person_related_3,person_related_4,person_related_5,person_related_6,,info,,,,,
עמיר פרץ,המחנה הציוני,62,נשוי,4,בית בשדרות,"חשף את הונו. בנוסף על בית מגוריו, דירה נוספת בבת ים בשווי 450 אלף שקל, הלוואות: כחצי מיליון שקל חסכונות: 200 אלף שקל",נעדר מכלל ההצבעות בנושא,"עמיר פרץ, אחד הח""כים והשרים החברתיים בכנסת, ששייט בכנסת בין כמה מפלגות: הוא עבר ממפלגת העבודה ל""עם אחד"", בחזרה ל""עבודה"" ומשם ל""התנועה"" וכעת מתמודד ברשימה משותפת עם העבודה ב""מחנה הציוני"". פרץ, המכהן בכנסת מ-1988 למעט שנה הפסקה, היה גם במהלך התקופה יו""ר ההסתדרות, שנלחם במשך שנים להעלאת שכר המינימום. כשר ביטחון ויו""ר העבודה, אומנם צולם ב""שטח"" כשהוא מביט במשקפת שהעינית בה סגורה, וזכה להרבה צחוקים ב""ארץ נהדרת"" אבל קידם את ""כיפת ברזל"". כשר להגנת הסביבה היתה כהונתו חיוורת לעומת זו הנמרצת של קודמו בתפקיד, גלעד ארדן. לזכותו של פרץ, יש לציין כי אינו נמנה כקודמו על מפלגת השלטון, ולא קלים חייו של שר מסיעת מיעוט. פרץ הפסיד במאבק על תקציב משרדו, אבל הוציא לדרך את חוק מיחזור פסולת אלקטרונית – ולפני שהתפטר, כמעט הספיק להביא לצמצום השימוש בשקיות פלסטיק.",,,,,,,"אלי אלעזרא/בעל השליטה בהכשרת היישוב, חברת הליסינג אלבר וחברת הבנייה אפרידר","סמי שושן/ גיסו של פרץ/קבלן קולות בעבודה, ראש מועצת מצפה רמון לשעבר",ציון אמיר/עורך דין פלילי,,,,,,,,,,
מרב מיכאלי,המחנה הציוני,48,בזוגיות,,דירה בתל אביב,"חשפה את הונה. דירה שקיבלה בירושה, בבעלות משותפת עם אמה. חסכונות: כ–146 אלף שקל. שווי כולל: 1.6 מיליון שקל",תמכה בשתי הצעות ונעדרה משתיים (חשיפת ועדת השרים ותיעוד חופשי של ישיבות מועצה),"למיכאלי היתה כהונה משמעותית בוועדת הכספים, וחרף שיוכה לאופוזיציה הצליחה להחדיר שינויים לרפורמות שהגיעו לשולחנה, לרבות חוק הריכוזיות. אפילו יריביה ופקידי האוצר מחמיאים לה ומדברים בשבח יכולתה לרדת לפרטים ולהתעמק. עם זאת, אחד מהחוקים שניסתה להעביר הרים גבות בכנסת: ההצעה ביקשה להוריד את הרף הדרוש להבאת העברה תקציבית בפני ועדת הכספים. מיכאלי טוענת כי החוק יגביר את עצמאות משרדי הממשלה, אולם בכנסת משוכנעים כי הוא למעשה יפחית את היכולת של חברי הכנסת לפקח על תעלולי השרים, ויסלול את הדרך לקומבינות נוסח ישראל ביתנו.",צ׳רלס קרמר/חבר דירקטוריון ג׳יי סטריט,"שמעון שבס/לשעבר מנכ""ל משרד ראש הממשלה",ירון גינדי/ נשיא לשכת יועצי המס,,,,מיה בנגל/יועצת לשרת המשפטים לשעבר ציפי לבני,"בנימין בן אליעזר/לשעבר שר וח""כ בעבודה",,,,,,,,,,,
איתן כבל,המחנה הציוני,55,נשוי,2,בית בראש העין,חשף את הונו. שווי ביתו כ–1.25 מיליון שקל; חסכונות: כמיליון שקל; הלוואות: כ–470 אלף שקל,"תמך בשלוש מההצעות, נעדר מההצבעה לחשיפת ועדת השרים","כבל התברג כבל בצמרת חברי הכנסת החברתיים במשכן. הוא עונה בעצמו לפניות הציבור, ומקדם חקיקות נקודתיות חברתיות (למשל סיוע למנותקי מים וחשמל) לצד טיפול בנושאי מקרו כמו צמצום פערי השכר. בפריימריז האחרונים הדרדר למקום העשירי בלבד. המהלך שמשך הכי הרבה אש לכיוונו של איתן כבל השנה היה ניסיון לחוקק חוק שיכפה על ""ישראל היום"" להפסיק לחלק את גיליונותיו חינם. הצעת חוק זו ביססה קשר חזק בין כבל לבין קבוצת ""ידיעות אחרונות"" של נוני מוזס, ומנגד סימנה אותו בקבוצה המתחרה של שלדון אדלסון כאויב המדינה. לצד זאת, כבל העניק את התמיכה מהאופוזיציה שאיפשרה את רפורמת הסגירה-פתיחה של רשות השידור.","שרון תוסיה כהן/מנכ""ל חברת ההשקעות מרתון","אברהם פרחי/יו""ר שפ""מ","אריה נייגר/עו״ד/ראש תחום לטיגציה בעמית, פולק, מטלון ושות'",,,,ליאור רוטברט/מנכ״ל ספוט תקשורת,בועז כבל/אחיו/מכהן כיועץ בכיר לחיים ביבס יו״ר השלטון המקומי,"רן מלמד/סמנכ""ל עמותת ידיד ופעיל חברתי",,,,,,,,,,
מנואל טרכטנברג,המחנה הציוני,64,נשוי,3,דופלקס בנאות אפקה,"חשף את הונו. כ-10 מיליון שקל. 4.6 מיליון שקל בחסכונות, קרנות פנסיה והשתלמות, נאמנות, פק""מ וחשבון בארה""ב",,"יו""ר הוות""ת לשעבר, שהשתכר כ–69 אלף שקל בחודש, עמד בראש הוועדה לשינוי כלכלי–חברתי שהוקמה בעקבות מחאת האוהלים. בשנים האחרונות צפה בממשלה ובכנסת המעלות באש חלקים נרחבים מהדו""ח חסר התקדים שהפיקה הוועדה, וכעת הוא מגיע למשכן עם הרבה יוזמות לפירוק שווקים אוליגופולים, עם התוכנית הכלכלית שניסח עבור מפלגת העבודה, ברוח עקרונות הוועדה ובלי חובות לאיש - להוציא הרצוג ולבני. עם זאת ייתכן שיתקשה לקבל שיתוף פעולה מחבריו לרשימה, מהם זכה לביקורת ולקריאות בוז בועידת מפלגת העבודה",,,,,,,"ד""ר שלומי פריזט/לשעבר הכלכלן הראשי של רשות ההגבלים העסקיים",דרור שטרום/לשעבר הממונה על ההגבלים העסקיים,"איל גבאי/לשעבר מנכ""ל משרד ראש הממשלה",,,,,,,,,,
אראל מרגלית,המחנה הציוני,54,נשוי,3,דירה בירושלים,"לא. לפי ""פורבס"" שוויו מוערך ב–220 מיליון שקל","תמך בהצעה לחשיפת תיקי המניות, נעדר מהשאר","למרות שהתגייס להחמרת חוק הריכוזיות, וקידם חקיקה לחשיפת הדו""חות הכספיים של מונופולים פרטיים, נבחר אראל מרגלית לח״כ הכי פחות חברתי מבין המתמודדים בעבודה. זאת, כנראה משום שנעדר משורה של הצבעות בנושאים חברתיים–כלכליים. מייסד קרן הון הסיכון העשיר, שאינו זקוק לקשרים וג'ובים עתידיים, מבטיח להילחם ביוקר המחיה בקדנציה הבאה.",ריצ'רד סנדלר/משקיע ופילנתרופ,מייקל שטיינהרדט/מנהל קרנות גידור מניו יורק,צ׳רלס ברונפמן/איל הון קנדי,,,,"אמיר לובין/ לשעבר יו""ר הפועל תל אביב","ישראל כהן/יועץ פוליטי ויו""ר המכון לחקר קרקעות בקק""ל",,,,,,,,,,,
מיקי רוזנטל,המחנה הציוני,59,נשוי,3,גבעתיים,"העריך את הונו בכ-7 מיליון שקל, אך לא פירט אותו",תמך בארבע הצעות החוק,"ה""בולדוזר"" שעבר מהתקשורת לכס המחוקק במשכן, פעל נגד קשרי הון שלטון, ונלחם בועדת הכספים להחרפת חוק הריכוזיות. יוצר הסרט ""שיטת השקשוקה"" על ""האחים עופר"" דרש בין היתר בכנסת שאזרחי ישראל יהנו יותר ממשאבי הטבע שלהם, עמד בראש צוות שניסח מחדש את הקוד האתי של חברי הכנסת, אלא שההמלצות עוכבו לבסוף על ידי הח""כים עצמם. רוזנטל מתח בקורת כעיתונאי על התנאים המופלגים של חברי הכנסת אבל כמחוקק סירב לחשוף את הצהרת ההון שלו. בד בבד הגיש הצעת חוק לחשיפת האינטרסים הכלכליים של חברי הכנסת שטרם קודמה. מאז היותו עיתונאי שינה את עמדתו גם לגבי סוגיית עיתון ""ידיעות אחרונות"" - בהיותו עיתונאי טען כי העיתון לא משרת את האינטרס הציבורי אלא את האינטרסים של המו""ל נוני מוזס. כעת עם התחממות הגזרה בין נתניהו למו""ל מוזס, סבור רוזנטל כי מוזס ""רשאי לעשות בעיתון כרצונו"". הצעותיו להרחבת ההגנה על חושפי שחיתויות נפלה בועדת השרים לחקיקה וערב הבחירות, והוא נהדף על ידי ""ישראל ביתנו"" בקידום חוק שיגביל את העמלות של החברות למימוש זכויות רפואיות. הקרב ימשך בקדנציה הבאה.",,,,,,,"אופיר פינס-פז/ מנכ""ל המכון לחקר השלטון המקומי ושר לשעבר",רביב דרוקר/עיתונאי ערוץ 10,,,,,,,,,,,
רויטל סוויד,המחנה הציוני,47,נשואה,4,דירה ברעננה,לא,,"עורכת דין המתמחה במשפט פלילי ייצגה בעבר משפחות ששמן נקשר בעולם התחתון. היא מחוברת היטב לפרקליטי הצמרת של המדינה, וכעת גם למוקדי הכוח במחנה הציוני שסייעו לה להתברג ברשימה ולעקוף מועמדים ותיקים הרבה יותר.",,,,,,,"יורם מרציאנו/ח""כ לשעבר",מרב גרינברג/שופטת שלום,ששי גז/עורך דין,,,,,,,,,,
דני עטר,המחנה הציוני,57,נשוי,3,בית ביישוב גן נר,"לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
מחזיק רק בדירת מגוריו",,"ראש המועצה האזורית הגלבוע מגיע לכנסת במטרה לחזק את הפריפריה. במקביל לפעילותו כראש המועצה זכה דני עטר לככב בדו""חות מבקר המדינה ואף נחקר במשרדי יאח״ה בחשד למרמה והפרת אמונים, אך התיק נסגר. כמו כן, נקנס בעבר על ידי המבקר בשל אי ניהול חשבוניות כנדרש ואי דיווח של תרומות, והסתכסך עם המבקרת הפנימית של המועצה.",,,,,,,"בועז כבל/יועץ פוליטי, אחיו של ח""כ איתן כבל","רענן כץ/בעל מתחמי נדל״ן בארה״ב, לשעבר אחד מבעלי קבוצת הכדורסל מכבי ת""א","ששי יעקב/לוביסט ויזם נדל""ן",,,,,,,,,,
יואל חסון,המחנה הציוני,42,נשוי,1,בית בראשון לציון,"חשף את הונו - כ-5 מיליון שקל: פולקסווגן גולף שנת 2013 (140,000); דירה בתל אביב )שוויה 2,800,000); בית בראשלצ (שוויו כ-4,000,000), פנסיה (1,400,000), משכנתאות והלוואות (3,000,000) ועו""ש (10,000 בחובה)",,"חבר בשתי הכנסות הקודמות - שבימיהן נחשב לפרלמנטר חרוץ, בעיקר בתפקידו כיו״ר ועדת ביקורת המדינה. אחרי התרסקות קדימה הקים חברות פרטיות המספקות יעוץ וקשרי ממשל, ומציעות בין היתר לחברות פרטיות היכרות עם הממשל ומשרד מבקר המדינה באמצעות מומחים ובכירים לשעבר מהמגזר הציבורי. לדבריו בימים האחרונים החל להעביר את מניותיו בהן לשותפיו העסקיים",,,,,,,ראובן אדלר/פרסומאי,"הרב יעקב איפרגן/""הרנטגן""",צח בורוביץ'/לוביסט לשעבר,,,,,,,,,,
זוהיר בהלול,המחנה הציוני,64,אלמן,3,דירת 4 חדרים בעכו,"לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו:
מחזיק רק בדירת מגוריו",,"בהלול מחזיק בידע מועט על האופן שבו הכנסת מתנהלת ועדיין, העיתונאי הוותיק מגיע עם רקורד נקי והרבה תקוות לשפר את הדו–קיום הישראלי ולסייע למיעוטים.",,,,,,,ד״ר אחמד בדראן/רופא וחבר ילדות,"יוסי פיטוסי/ניהל את מתנ""ס עכו וחבר מועצה לשעבר מטעם צומת",אדוארד מטר/איש עסקים חיפאי,,,,,,,,,,
איתן ברושי,המחנה הציוני,55,נשוי,5,קיבוץ גבת,לא,,"יו״ר התנועה הקיבוצית, שהיה מזכיר קיבוץ גבת וניהל בשעתו את הקמפיין של יצחק רבין בקיבוצים, מגיע לכנסת כדי לקדם את הלובי החקלאי וההתיישבות בנגב ובגליל. ברושי הוא גם דירקטור במגוון קבוצות ולשעבר בכיר במפעל הפיס. מבקר המדינה ציין כי היה חלק מקבוצת אנשים שהעבירה תמיכות לפעילויות במקומות מגוריהם או לגופים שהם קשורים אליהם. ביקורת לא מבוטלת הופנתה כלפי הרשימה על כך ששוב הוצב בה קיבוצניק לפני איש פריפריה מזרחי, כמו יוסי יונה למשל","יונתן בשיא/יו""ר איגוד התעשייה הקיבוצית","בדיע טנוס/קבלן, בעלי חברת הנדל""ן ב.ס.ט","נדב סונברג/מנכ""ל ובעלים של חברת דגני אלון וחבר במזכירות תנועת המושבים",,,,אבי ניסקורן/יו״ר ההסתדרות,מוטי ששון/ראש עיריית חולון,מאיר צור/מזכיר תנועת המושבים,,,,,,,,,,
מיכל בירן,המחנה הציוני,36,רווקה,,"דירה בשכירות (5,300 שח) בירושלים",חשפה את הונה. חסכונות בגובה 290 אלף שקל,"תמכה בשלוש מההצעות, נעדרה מההצבעה לחשיפת ועדת השרים","בת טיפוחיה לשעבר של שלי יחימוביץ׳; אחיה שי בירן- מנכ""ל אגף הכלכלה בהסתדרות. בהמשך לרוטציה בין חברי העבודה בועדת הכספים היא הצטרפה לועדה ופעלה בתחומי פנסיה, ותעסוקה. אינה מחוברת לבעלי הון או לשלוחיהם. עסקה לא מעט בבחישות פנים מפלגתיות.",,,,,,,"פסח האוספטר/מזכ""ל תנועת דרור ישראל",אורי קידר/יו״ר המשמרת הצעירה בעבודה,"שי בירן/מנכ״ל אגף הכלכלה בהסתדרות, אחיה של בירן",,,,,,,,,,
נחמן שי,המחנה הציוני,68,נשוי,3,מבשרת ציון,לא,"תמך בשלוש מההצעות, נעדר מההצבעה לחשיפת ועדת השרים","שי מייצג את הכנסת בהרבה מהמשלחות הפרלמנטריות ובהן במועצת אירופה. זאת בשל היותו דובר צה""ל לשעבר ומזכיר עתונות לשעבר במשלחת ישראל לאו""ם. הוא מתגאה בכך שמתוך האופוזיציה הוא מייצג את האינטרסים של ישראל בחו״ל - ואכן בכנסת מעריכים את פועלו במישור הבינלאומי. עם זאת כשהוא לא מדברר היטב את ישראל בעולם, נראה כי הוא עסוק בעיקר בפוליטיקה פנימית","זאב דרורי/ מנכ""ל המכללה האקדמית כנרת בעמק הירדן",ריצ׳רד פשולסקי/איש עסקים אמריקאי,אליסה גוייר/ אנליסטית מניו יורק,,,,"בנימין בן אליעזר/שר וח""כ לשעבר",יפתח דבור/עסקן ויועץ פוליטי,יונה ויזנטל/העורך הראשי בפועל של רשות השידור,,,,,,,,,,
קסניה סבטלובה,המחנה הציוני,36,גרושה,2,דירה שכורה במודיעין,"לא חשפה את הונה השלם והצהירה כי לא מחזיקה באף נכס נדל""ני",,"כתבת ופרשנית לענייני ערבים בערוץ 9 ודוקטורנטית למזרח תיכון באוניברסיטה העברית. היא מתמחה בכלכלת המזרח התיכון, ומאמינה בכלכלה חופשית עם התערבות מסוימת של הרגולטור, בעיקר בהגנה על שכבות החלשות.",,,,,,,"ד""ר נמרוד גורן/מייסד ויו""ר מיתווים - המכון הישראלי למדיניות חוץ אזורית","רומן ברונפמן/ח""כ לשעבר ואיש עסקים",,,,,,,,,,,
איילת נחמיאס ורבין,המחנה הציוני,45,נשואה,3,דירה בתל אביב,לא חשפה את הונה השלם. הסכימה לחשוף את נכסי הנדל״ן שברשותה: מחזיקה רק בדירת מגוריה,,"מומחית לניהול וממשל תאגידי המכהנת כדירקטורית בכמה חברות. בעבר החזיקה נחמיאס ורבין בעמדות בכירות בגאון אחזקות ובאל על והיא מחוברת היטב לקצפת של המשק. אין ספק כי היא מצוידת בידע כלכלי רב, אך כעת תעמוד למבחן הצהרתה, לפיה תפעל ""להגדלת העוגה ולחלוקתה באופן איכותי יותר, על מנת להביא לצמצום הפערים החברתיים"". כדי ליישם זאת תצטרך לפעול בניגוד לאינטרסים של כמה מחבריה המחוברים.",מנחם אורן/איש עסקים מתחום הנדל״ן,"ד""ר גיל תומר/סמנכ""ל חברת התרופות הגנריות אוניפארם","אלונה בר און/שותפה בקרן ""בית וגג"" ומבעלי ""גלובס""",,,,רון חולדאי/ראש עירית ת״א,אמיר חייק/מנכ״ל התאחדות התעשיינים,"נורית דאבוש/לשעבר יו""ר הרשות השנייה",,,,,,,,,,
יוסי יונה,המחנה הציוני,62,רווק,,דירה בתל אביב,"חשף את הונו . דירה בת״א שנרכשה ב-1.37 מיליון שקל. חצי מדירת חדר בבוסטון שנרכשה בכ-270,000 דולר. קופות גמל, פנסיה ותכניות חיסכון: 1.45 מיליון שקל. משכנתא: 300,000 שקל. יתרה בחשבון: מינוס 12.8 אלף שקל",,"פרופסור יונה, ממייסדי הקשת הדמוקרטית המזרחית וחבר הנהלה במרכז אדוה מביא את משנתו הסוציאליסטית לכנסת ומטרתו לקדם אג׳נדה המפורטת בדו""ח האלטרנטיבי לוועדת טרכטנברג שהפיק בימי המחאה, ובמרכזה רשתות ביטחון חברתיות וחיזוק ועדי עובדים. נחשב לסמן השמאלי של העבודה. המדיניות שלו לא תואמת את המצע הכלכלי שטרכטנברג הגיש, ודרכי השניים צפויות להתנגש בממשלה הבאה",,,,,,,דני גוטווין/פרופ' בחוג לתולדות ישראל באונ' חיפה,"אביה ספיבק/פרופ' בפקולטה לכלכלה, אונ' בן גוריון, שותפו של יונה להובלת צוות המומחים שייעץ להנהגת המחאה החברתית","רמי הוד/מנכ""ל המכללה החברתית-כלכלית",,,,,,,,,,
אייל בן ראובן,המחנה הציוני,60,נשוי,6,מושב יודפת (בשכירות),"לא חשף את הונו השלם. הסכים לחשוף את נכסי הנדל״ן שברשותו: בית בגבעת עדה, בונה בית ביודפת",,"סגן מפקד פיקוד הצפון (מיל'), ולשעבר מפקד המכללה לביטחון לאומי ועומד בראש חברת הייעוץ הארגוני ארא, הוא משוריין של לבני ברשימה (למרות שהתמודד בבחירות הקודמות במרצ) ומקווה לפעול להבאת משקיעים לישראל ולהזניק את הכלכלה באמצעות פתרונות מדיניים.",,,,,,,"אייל אפרתי/יו""ר משותף בחברת ארא יועצים ארגוניים בע""מ",עוזי צובנר/איש עסקים,,,,,,,,,,,
נפתלי בנט,הבית היהודי,42,נשוי,4,בית ברעננה,"לא. ב""פורבס"" העריכו באחרונה את הונו ב–25 מיליון שקל",התנגד ונעדר לסרוגין,"נפתלי בנט נכנס לפוליטיקה כהבטחה. דתי חובש כיפה, המכיר את השפה החילונית שהרבה לדבר על סוגיות בוערות כגון ריכוזיות ויוקר המחיה. דבריו נתפסו כאמינים, בין היתר, משום שבנט עשה את הונו כתוצאה מאקזיט של חברת סאיוטה שנמכרה ב-2005 ב-145 מיליון דולר - והוא לא חב דבר לטייקונים הותיקים. אלא שההבטחה לא מומשה: למרות קריאותיו לפירוק הריכוזיות, נפתלי בנט היה שר הכלכלה הכי מדיני שהיה כאן בעשור האחרון. הוא הקדיש חלק ניכר מזמנו לסיורים בהתנחלויות ולפגישות עם פעילים ואנשי יש""ע, ועסק באינטנסיביות במהלכים מדיניים. התוצאה היא, שבנט קידם הרבה פחות רפורמות בתחומי מכפי שיכול היה לקדם, לו היה מתמקד במשרד הכלכלה ובקבינט יוקר המחיה שבראשותו. רפורמות חשובות שכן עברו בתקופתו, כמו חוק הריכוזיות או חוק המזון, בושלו כבר בכנסת הקודמת ומהלכים שיזם בנט, כמו הרפורמה החשובה במכון התקנים, טרם הושלמו. בנוסף בנט נתן יד בשתיקתו, למהלכים בעייתים מאוד של חבר סיעתו, ניסן סמוליאנסקי, שבקדנציה האחרונה כיו""ר וועדת כספים העביר כספים שהיטיבו עם ציבור הבוחרים של הבית היהודיה ובעיקר לחטיבה להתיישבות, גוף הנחקר כעת במסגרת פרשת השחיתות של ישראל ביתנו. בנט, שמיצב את עצמו בתחילת הדרך כמי שלוחם בשחיתות פוליטית, לא התבטא עד כה בפומבי כנגד תופעות פסולות שהתגלו בוועדת הכספים. 
מעיון ביומן הפגישות של השר בנט עולה כי הוא גם מצא זמן להכיר מקרוב את חברי האלפיון העליון. בלו""ז שלו מופיעות פגישות עם אנשי עסקים וגם עם מיליארדרים כרון לאודר, מייקל שטיינהרדט ושלדון אדלסון. הוא לקח חלק פעיל גם במלחמות העיתונים. תחילה תמך ב""ידיעות אחרונות"" של נוני מוזס, אבל בהמשך עבר לצדו של ""ישראל היום"". נראה כי בראש סדר העדיפויות אצלו נמצא היעד שהציב לעצמו — להיות ראש ממשלה.
בנט גייס בפריימריס על ראשות הבית היהודי 1.2 מיליון שקלים כפי שמתיר לו החוק. הסכום הגבוה של התרומות שכולן למעט אחת מחו""ל מעורר תהיות מדוע היה צריך להשקיע כסף גדול כל כך בהתמודדות מול המועמד אלמוני שמעון אור, אותו כמובן ניצח ברוב מוחץ. לאחרונה הגיש תביעת דיבה בסך מיליון שקל כנגד העיתונאי דרור פויר, על כי צייץ בטוויטר כי ""בנט קרא לכל הערבי גנבי רכב"". הציוץ הועלה בעקבות נאום של בנט בו הוא אמר: ""מי שטייל בנגב יודע שכבר אי אפשר להשאיר רכב ליד המכתש הקטן או ליד אחד הנחלים כי בוודאות יפרצו אותו. וגם בפתח תקווה וגם בגליל וגם לחקלאים גונבים את הטרקטורים"".",לואיס מייברג/בעל חברות השקעה וקרנות ניהול בארצות הברית,ארתור דנצ'יק/בעלים בבית השקעות,חיים לוי/נשיא קהילת יהודי גיברלטר,,,,משה קלוגהפט/יועץ תקשורת ואסטרטגיה,"שלום שלמה/יועצו הפוליטי של בנט, וראש המטה שלו במשרד הכלכלה","אייל גבאי/יועץ כלכלי עצמאי, לשעבר מנכ""ל משרד ראש הממשלה ומנהל רשות החברות",,,,,,,,,,
אורי אריאל,הבית היהודי,62,נשוי,6,כפר אדומים,חשף את הונו. שווי בית המגורים: כ–1.6 מיליון שקל; קופות פנסיה וגמל שלו ושל רעייתו: כ–500 אלף שקל,נעדר מכלל ההצבעות,"פרלמנטר מתוחכם שיודע להתחבר מתחת לרדאר למקורות כוח וסמל מובהק לפרלמנטריות סקטוריאלית. אריאל משרת בנאמנות את ציבור בוחריו הדתי–ציוני. אם באמצעות אי הארכת שירותם בצה״ל, הזרמת עשרות מיליוני שקלים של תקציבים חברתיים כולל כאלה המיועדים לדיור ציבורי, לגרעינים תורניים וישיבות הסדר, או הקצאת עשרות מיליוני שקלים מתקציב המשרד למועצות שמעבר לקו הירוק. כהונתו כשר השיכון, ביחד עם אחיזת מפלגתו בוועדת הכספים, איפשרו להעביר מיליונים רבים לציבור המתנחלים - במיוחד כאשר שר האוצר לשעבר, לפיד, נזקק לאריאל ולחבריו לצורך קידום תוכניתו (שכשלה) למע״מ 0 על דירה ראשונה. בנוסף נחשף בחודשים האחרונים כי משרד השיכון בראשותו מכר עשרות דירות לעמותות דתיות ללא כל מכרז ובהנחות מפליגות. במקרים רבים, חתם המשרד בראשות אורי אריאל על עסקאות למכירת דירות לגופים המזוהים עם מפלגת הבית היהודי. ערב הבחירות לכנסת הועלתה אפשרות להתמודדות משותפת של אריאל ברשימת ""יחד"" של אלי ישי ובסופו של דבר אריאל נשאר ב""הבית היהודי באמצעותו יהיה לו ככל הנראה בסיס פוליטי רחב יותר להוביל את מדיניותו להקצאת משאבים לשטחים.",,,,,,,הרב דב ליאור/חבר בוועד רבני תקומה לשעבר רבה של קריית ארבע–חברון,"שלמה בן אליהו/מנכ״ל משרד הבינוי, מונה לתפקידו על ידי אריאל",,,,,,,,,,,
איילת שקד,הבית היהודי,39,נשוי,2,דירה בשכונת בבלי בתל אביב,לא,התנגדה לכלל חוקי השקיפות,"מקום ראשון בפריימריז המפלגתיים, נחשבת למקורבת מאוד ליו""ר בנט. השניים עבדו יחד בלשכת נתניהו כראש אופוזיציה, אך פרשו מהלשכה בחריקת שיניים. נתניהו ""בלע"" את הרוק כשהכניס את בנט לממשלתו, וכעת, לאחר הבחירות דורשים ב""בית היהודי"" שגם שקד תשב ליד שלחן הממשלה -עדיף כשרה לביטחון פנים במטרה ״להשליט סדר ברחובות״. התייצבותה בראש משרד זה או משרד המשפטים תאפשר לה לממש את עמדותיה לגבי הגבלת כוחו של בית המשפט מול הכנסת. 
בכנסת האחרונה קולה נשמע בעיקר סביב נושאים מדיניים, אך שקד עסקה בכנסת היוצאת גם בסוגיות כלכליות. למשל, היא היתה מעורבת בקידום חוק להגברת התחרות בענף המזון ובהצעה אחרת להקלות על הקמת תחנות דלק. עם זאת, את עיקר הרעש חוללה הצעת החוק שעליה חתמה עם חברי כנסת אחרים שנועדה למנוע מהעיתון ""ישראל היום"" להמשיך להפיץ את גיליונותיו חינם — הצעה שעברה בקריאה טרומית, אך מאז התפרקה הממשלה והוחלט על הקדמת הבחירות. 
חוק שנוי במחלוקת שהצליחה שקד לחוקק (עם ח״כ רוברט אילטוב מישראל ביתנו), נועד לאפשר למזקקי נפט לשווק גז טבעי. חוק זה סייע אך ורק לשתי חברות: בזן ופז. ואולם שקד הדפה את הביקורת שלפיה מדובר בחוק שקודם על ידי לוביסטים, וטענה שגם הוא נועד להגברת התחרות.","יוסף גוטניק/מנכ""ל מרלין יהלומים",אברהם פורז/לשעבר שר הפנים,מייקל אייזנברג/משקיע הון סיכון בהייטק,,,,הרב אביחי רונצקי/ראש ישיבת איתמר מקום 14 ברשימת הבית היהודי,"צבי צויבל/מנכ""ל פורום הציונות הדתית",רמי וייספיש/איש עסקים,,,,,,,,,,
אלי בן דהן,הבית היהודי,60,נשוי,9,דירה בירושלים,לא,התנגד ונעדר לסרוגין,"סגן שר הדתות קיבל מראש מפלגתו ושר הדתות, נפתלי בנט, יד חופשית. אלא שבן דהן, המחובר לרוב רבני השכונות והערים, נשאר רוב הזמן על הספסל, ולמעט רפורמה זניחה לא שיפר את השירות במועצות הדתיות השבעות, ולא לחם בבטלה או טיפל בשכר המופרז. במקום זאת, עסק בן דהן בסיוע לתפירת תפקידים לאנשי שלומו ובשימור הסטטוס קוו.",עזי פויכטונגר/איש עסקים,מייקל אייזנברג/משקיע הון סיכון בהייטק,מיכאל פרוינד/יו״ר ארגון שבי ישראל,,,,"הרב שמואל אליהו/רב העיר צפת, התמודד על משרת הרב הספרדי הראשי של ירושלים",מאיר זיילר/איש עסקים חרדי,אלחנן גלט/מנכ״ל זמני של הרבנות הראשית,,,,,,,,,,
